id_karyawan,nama,departemen,jam_kerja_sebulan,output_task,gaji_pokok
2001,Karyawan_2001,Admin,183,56,6000000
2002,Karyawan_2002,Admin,163,33,8500000
2003,Karyawan_2003,Developer,167,54,7000000
2004,Karyawan_2004,Security,169,50,7000000
2005,Karyawan_2005,Admin,178,50,7000000
2006,Karyawan_2006,Security,166,25,10000000
2007,Karyawan_2007,Admin,163,41,8500000
2008,Karyawan_2008,Admin,170,57,8000000
2009,Karyawan_2009,Admin,206,23,7000000
2010,Karyawan_2010,Security,170,58,10000000
2011,Karyawan_2011,Security,164,32,8000000
2012,Karyawan_2012,Security,199,59,6000000
2013,Karyawan_2013,Designer,158,49,8500000
2014,Karyawan_2014,Designer,163,40,8500000
2015,Karyawan_2015,Marketing,198,37,10000000
2016,Karyawan_2016,Designer,185,50,8000000
2017,Karyawan_2017,Admin,159,45,10000000
2018,Karyawan_2018,Developer,151,44,8500000
2019,Karyawan_2019,Security,194,36,8000000
2020,Karyawan_2020,Admin,181,24,10000000
2021,Karyawan_2021,Admin,204,37,8000000
2022,Karyawan_2022,Marketing,157,51,10000000
2023,Karyawan_2023,Security,166,48,8500000
2024,Karyawan_2024,Marketing,194,34,8000000
2025,Karyawan_2025,Admin,153,33,10000000
2026,Karyawan_2026,Admin,165,28,8500000
2027,Karyawan_2027,Developer,174,40,10000000
2028,Karyawan_2028,Admin,205,29,8000000
2029,Karyawan_2029,Designer,204,32,8000000
2030,Karyawan_2030,Marketing,176,57,8000000
2031,Karyawan_2031,Admin,163,29,8500000
2032,Karyawan_2032,Marketing,203,22,8500000
2033,Karyawan_2033,Marketing,178,38,7000000
2034,Karyawan_2034,Designer,174,20,7000000
2035,Karyawan_2035,Designer,201,54,7000000
2036,Karyawan_2036,Security,168,44,10000000
2037,Karyawan_2037,Developer,153,45,8000000
2038,Karyawan_2038,Marketing,164,55,7000000
2039,Karyawan_2039,Marketing,175,56,8500000
2040,Karyawan_2040,Marketing,187,23,8500000
2041,Karyawan_2041,Admin,164,40,7000000
2042,Karyawan_2042,Designer,186,58,6000000
2043,Karyawan_2043,Designer,163,59,10000000
2044,Karyawan_2044,Admin,170,43,8000000
